DataSet,90.0:90.0:-0.6:0.8:12.0:0.4:0.95:0.95:0.95:0.2:0.5:0.1,30.0:90.0:-0.2:0.8:5.0:0.4:0.7:0.2:0.7:0.95:0.5:0.85,45.0:90.0:-0.2:1.0:3.0:0.2:0.2:0.95:0.7:0.35:0.7:0.2,75.0:90.0:-1.0:0.8:3.0:0.01:0.35:0.2:0.2:0.35:0.2:0.6,60.0:75.0:-0.6:0.2:5.0:0.1:0.7:0.95:0.35:0.5:0.35:0.6,45.0:60.0:-0.8:0.4:8.0:0.01:0.7:0.95:0.2:0.2:0.95:0.6,90.0:30.0:-1.0:1.0:5.0:0.2:0.7:0.7:0.2:0.95:0.95:0.35,75.0:30.0:-0.6:0.6:2.0:0.05:0.2:0.2:0.2:0.5:0.5:0.35,60.0:45.0:-0.2:0.2:12.0:0.01:0.5:0.5:0.2:0.7:0.5:0.1,30.0:30.0:-0.4:0.6:2.0:0.1:0.95:0.7:0.2:0.7:0.7:0.2,45.0:45.0:-0.8:0.6:3.0:0.2:0.5:0.2:0.95:0.2:0.35:0.85,75.0:75.0:-0.6:1.0:3.0:0.4:0.35:0.7:0.95:0.5:0.5:0.6,90.0:75.0:-0.2:0.2:8.0:0.05:0.35:0.7:0.7:0.35:0.35:0.1,90.0:60.0:-0.8:0.4:5.0:0.01:0.2:0.2:0.95:0.7:0.35:0.2,30.0:75.0:-0.4:1.0:2.0:0.05:0.7:0.35:0.5:0.2:0.35:0.2,60.0:45.0:-1.0:0.8:2.0:0.1:0.35:0.2:0.95:0.2:0.95:0.1,30.0:75.0:-0.6:0.8:5.0:0.4:0.5:0.5:0.2:0.2:0.7:0.35,45.0:90.0:-1.0:0.6:5.0:0.2:0.2:0.95:0.35:0.7:0.2:0.1,45.0:60.0:-0.6:0.4:2.0:0.1:0.35:0.95:0.35:0.35:0.5:0.1,90.0:60.0:-0.6:0.6:8.0:0.4:0.5:0.95:0.7:0.95:0.2:0.6,60.0:30.0:-0.8:0.6:12.0:0.2:0.5:0.2:0.35:0.5:0.95:0.2,45.0:60.0:-0.4:1.0:12.0:0.01:0.95:0.35:0.2:0.5:0.35:0.85,45.0:90.0:-0.6:0.8:2.0:0.01:0.7:0.35:0.95:0.7:0.95:0.35,75.0:45.0:-0.6:0.8:2.0:0.4:0.2:0.7:0.5:0.2:0.35:0.85
Ionosphere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.84729,0.84644,0.85271,0.85185,0.84558,0.8453,0.84929,0.84131,0.84986,0.85584,0.84786,0.84929,0.85299,0.85783,0.85584,0.85071,0.85185,0.85299,0.84046,0.84672,0.85299,0.84587,0.84872,0.85613,0.84615,0.85812,0.84872,0.85128,0.84473,0.84701,0.84444,0.849,0.85043,0.84615,0.84815,0.83989,0.84501,0.85356,0.84558,0.84672,0.85071,0.85385,0.84302,0.84929,0.84729,0.84103,0.8453,0.8416,0.84729,0.84644,0.85271,0.85185,0.84558,0.8453,0.84929,0.84131,0.84986,0.85584,0.84786,0.84929,0.85299,0.85783,0.85584,0.85071,0.85185,0.85299,0.84046,0.84672,0.85299,0.84587,0.84872,0.85613,0.84615,0.85812,0.84872,0.85128,0.84473,0.84701,0.84444,0.849,0.85043,0.84615,0.84815,0.83989,0.84501,0.85356,0.84558,0.84672,0.85071,0.85385,0.84302,0.84929,0.84729,0.84103,0.8453,0.8416,
Letter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.68315,0.69379,0.69187,0.69547,0.69015,0.67121,0.67043,0.66941,0.67187,0.67135,0.67595,0.69531,0.69526,0.69871,0.69669,0.66893,0.67231,0.67135,0.67324,0.67127,0.6799,0.67693,0.70077,0.69711,0.68085,0.69425,0.66865,0.67195,0.69839,0.67187,0.69797,0.67539,0.67731,0.67832,0.67224,0.67292,0.69194,0.70041,0.69561,0.66659,0.69396,0.66897,0.67081,0.70107,0.6935,0.66972,0.67356,0.66746,0.68315,0.69379,0.69187,0.69547,0.69015,0.67121,0.67043,0.66941,0.67187,0.67135,0.67595,0.69531,0.69526,0.69871,0.69669,0.66893,0.67231,0.67135,0.67324,0.67127,0.6799,0.67693,0.70077,0.69711,0.68085,0.69425,0.66865,0.67195,0.69839,0.67187,0.69797,0.67539,0.67731,0.67832,0.67224,0.67292,0.69194,0.70041,0.69561,0.66659,0.69396,0.66897,0.67081,0.70107,0.6935,0.66972,0.67356,0.66746,
Libras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.75867,0.76533,0.75867,0.76333,0.76233,0.74533,0.755,0.74633,0.75433,0.748,0.74567,0.76767,0.77133,0.761,0.762,0.75667,0.74667,0.75633,0.752,0.74733,0.75767,0.75167,0.763,0.77667,0.75167,0.76367,0.75933,0.75833,0.75833,0.74167,0.76,0.75633,0.74833,0.75667,0.751,0.747,0.76467,0.771,0.77333,0.75567,0.75,0.74733,0.74767,0.769,0.76567,0.75367,0.756,0.74133,0.75867,0.76533,0.75867,0.76333,0.76233,0.74533,0.755,0.74633,0.75433,0.748,0.74567,0.76767,0.77133,0.761,0.762,0.75667,0.74667,0.75633,0.752,0.74733,0.75767,0.75167,0.763,0.77667,0.75167,0.76367,0.75933,0.75833,0.75833,0.74167,0.76,0.75633,0.74833,0.75667,0.751,0.747,0.76467,0.771,0.77333,0.75567,0.75,0.74733,0.74767,0.769,0.76567,0.75367,0.756,0.74133,
Optdigits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.88019,0.8841,0.88216,0.8921,0.87774,0.86843,0.87104,0.87405,0.87028,0.86544,0.87577,0.89258,0.88813,0.88705,0.88941,0.8778,0.87338,0.8709,0.8696,0.86546,0.87787,0.86824,0.89991,0.8913,0.87813,0.88694,0.8691,0.87379,0.88587,0.87249,0.88985,0.87381,0.88271,0.88,0.86682,0.87461,0.88622,0.89449,0.88466,0.87038,0.87934,0.8736,0.87225,0.89649,0.88572,0.8726,0.86932,0.86913,0.88019,0.8841,0.88216,0.8921,0.87774,0.86843,0.87104,0.87405,0.87028,0.86544,0.87577,0.89258,0.88813,0.88705,0.88941,0.8778,0.87338,0.8709,0.8696,0.86546,0.87787,0.86824,0.89991,0.8913,0.87813,0.88694,0.8691,0.87379,0.88587,0.87249,0.88985,0.87381,0.88271,0.88,0.86682,0.87461,0.88622,0.89449,0.88466,0.87038,0.87934,0.8736,0.87225,0.89649,0.88572,0.8726,0.86932,0.86913,
Pen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.9072,0.91735,0.91381,0.91978,0.91541,0.899,0.89203,0.89516,0.89484,0.89603,0.90154,0.91532,0.9154,0.92156,0.91749,0.89757,0.89795,0.9007,0.89848,0.8917,0.90584,0.89658,0.9222,0.91987,0.90187,0.91504,0.89584,0.89407,0.91838,0.89612,0.91884,0.89414,0.90242,0.89889,0.89175,0.89802,0.9196,0.92325,0.9174,0.89564,0.91706,0.89588,0.89779,0.92286,0.92117,0.89424,0.89845,0.89615,0.9072,0.91735,0.91381,0.91978,0.91541,0.899,0.89203,0.89516,0.89484,0.89603,0.90154,0.91532,0.9154,0.92156,0.91749,0.89757,0.89795,0.9007,0.89848,0.8917,0.90584,0.89658,0.9222,0.91987,0.90187,0.91504,0.89584,0.89407,0.91838,0.89612,0.91884,0.89414,0.90242,0.89889,0.89175,0.89802,0.9196,0.92325,0.9174,0.89564,0.91706,0.89588,0.89779,0.92286,0.92117,0.89424,0.89845,0.89615,
QSARBiodegradation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.85895,0.8581,0.85457,0.862,0.85533,0.85048,0.85248,0.85038,0.85505,0.85467,0.85,0.85905,0.85533,0.85914,0.85629,0.85,0.85038,0.85429,0.85076,0.85381,0.85676,0.85276,0.8599,0.86438,0.85162,0.8619,0.85381,0.85152,0.85686,0.84733,0.85914,0.85181,0.85533,0.85638,0.85286,0.84981,0.86257,0.86,0.86248,0.8539,0.85381,0.85362,0.85295,0.86219,0.85895,0.85086,0.85362,0.85114,0.85895,0.8581,0.85457,0.862,0.85533,0.85048,0.85248,0.85038,0.85505,0.85467,0.85,0.85905,0.85533,0.85914,0.85629,0.85,0.85038,0.85429,0.85076,0.85381,0.85676,0.85276,0.8599,0.86438,0.85162,0.8619,0.85381,0.85152,0.85686,0.84733,0.85914,0.85181,0.85533,0.85638,0.85286,0.84981,0.86257,0.86,0.86248,0.8539,0.85381,0.85362,0.85295,0.86219,0.85895,0.85086,0.85362,0.85114,
Shuttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.48855,0.55215,0.4823,0.46353,0.42488,0.48796,0.44705,0.49499,0.46636,0.48646,0.44294,0.45714,0.4503,0.52838,0.48218,0.50371,0.459,0.39642,0.53383,0.47492,0.52933,0.56144,0.4624,0.42669,0.50597,0.46081,0.44524,0.42019,0.47141,0.48772,0.44697,0.53717,0.50351,0.54584,0.38881,0.51628,0.45432,0.5683,0.4481,0.49789,0.41646,0.56937,0.49712,0.50405,0.49832,0.55603,0.60486,0.55054,0.48855,0.55215,0.4823,0.46353,0.42488,0.48796,0.44705,0.49499,0.46636,0.48646,0.44294,0.45714,0.4503,0.52838,0.48218,0.50371,0.459,0.39642,0.53383,0.47492,0.52933,0.56144,0.4624,0.42669,0.50597,0.46081,0.44524,0.42019,0.47141,0.48772,0.44697,0.53717,0.50351,0.54584,0.38881,0.51628,0.45432,0.5683,0.4481,0.49789,0.41646,0.56937,0.49712,0.50405,0.49832,0.55603,0.60486,0.55054,
SPECTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.33375,0.30583,0.32542,0.30333,0.30792,0.30125,0.32875,0.29042,0.36708,0.40125,0.33167,0.30625,0.32375,0.31292,0.3175,0.33667,0.34208,0.32917,0.34458,0.30833,0.28333,0.33833,0.375,0.31667,0.3275,0.30083,0.30667,0.27333,0.3425,0.32583,0.28458,0.34542,0.35125,0.3375,0.29792,0.33875,0.33292,0.29667,0.34542,0.32708,0.29542,0.34167,0.3425,0.30125,0.2975,0.335,0.345,0.30125,0.33375,0.30583,0.32542,0.30333,0.30792,0.30125,0.32875,0.29042,0.36708,0.40125,0.33167,0.30625,0.32375,0.31292,0.3175,0.33667,0.34208,0.32917,0.34458,0.30833,0.28333,0.33833,0.375,0.31667,0.3275,0.30083,0.30667,0.27333,0.3425,0.32583,0.28458,0.34542,0.35125,0.3375,0.29792,0.33875,0.33292,0.29667,0.34542,0.32708,0.29542,0.34167,0.3425,0.30125,0.2975,0.335,0.345,0.30125,
Wilt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.96803,0.96894,0.96846,0.96956,0.96729,0.96594,0.96644,0.96472,0.96524,0.96464,0.96694,0.96691,0.96797,0.96964,0.96888,0.96551,0.9652,0.96683,0.96607,0.96572,0.96663,0.96648,0.96956,0.97024,0.9676,0.96954,0.96611,0.9651,0.9676,0.96644,0.96853,0.96629,0.96768,0.9677,0.96532,0.96638,0.96921,0.96966,0.96911,0.96669,0.96826,0.96412,0.96625,0.96995,0.96855,0.96572,0.96584,0.96623,0.96803,0.96894,0.96846,0.96956,0.96729,0.96594,0.96644,0.96472,0.96524,0.96464,0.96694,0.96691,0.96797,0.96964,0.96888,0.96551,0.9652,0.96683,0.96607,0.96572,0.96663,0.96648,0.96956,0.97024,0.9676,0.96954,0.96611,0.9651,0.9676,0.96644,0.96853,0.96629,0.96768,0.9677,0.96532,0.96638,0.96921,0.96966,0.96911,0.96669,0.96826,0.96412,0.96625,0.96995,0.96855,0.96572,0.96584,0.96623,
Zoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.85914,0.85161,0.86022,0.86882,0.82043,0.86129,0.86129,0.86882,0.83763,0.84731,0.85699,0.84301,0.85161,0.86452,0.86667,0.86237,0.86237,0.85914,0.85699,0.86774,0.86559,0.81828,0.86989,0.86129,0.86989,0.86452,0.86129,0.86774,0.85054,0.85806,0.87742,0.86022,0.85591,0.83226,0.85161,0.85484,0.85699,0.87634,0.83118,0.84839,0.86237,0.83871,0.84516,0.86022,0.86559,0.86882,0.83118,0.83333,0.85914,0.85161,0.86022,0.86882,0.82043,0.86129,0.86129,0.86882,0.83763,0.84731,0.85699,0.84301,0.85161,0.86452,0.86667,0.86237,0.86237,0.85914,0.85699,0.86774,0.86559,0.81828,0.86989,0.86129,0.86989,0.86452,0.86129,0.86774,0.85054,0.85806,0.87742,0.86022,0.85591,0.83226,0.85161,0.85484,0.85699,0.87634,0.83118,0.84839,0.86237,0.83871,0.84516,0.86022,0.86559,0.86882,0.83118,0.83333,
