Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
0.7:0.35:0.2:0.35:0.35:0.2,0.99993,0.74973,0.83142,0.76386,0.90783,0.96066,0.66778,0.72614,0.67273,0.6368,0.84587,0.68774,0.76633,0.88102,0.914,0.86076,0.384,0.39083,0.96894,0.64946
0.5:0.7:0.5:0.95:0.5:0.5,0.99978,0.7496,0.83374,0.76205,0.91283,0.96202,0.66778,0.73007,0.67803,0.64521,0.85043,0.68857,0.77533,0.88368,0.91247,0.86029,0.43374,0.36667,0.96908,0.66237
0.35:0.5:0.7:0.7:0.7:0.2,0.99993,0.74812,0.83137,0.76514,0.911,0.96011,0.65444,0.72647,0.67576,0.6396,0.84929,0.68905,0.77233,0.88377,0.91387,0.8581,0.43995,0.3375,0.96904,0.68065
0.95:0.2:0.2:0.2:0.5:0.7,0.9997,0.74866,0.83507,0.768,0.9115,0.9612,0.66556,0.72712,0.67727,0.64472,0.84815,0.68871,0.77467,0.88251,0.91273,0.85781,0.44821,0.3725,0.96888,0.74086
0.7:0.2:0.5:0.5:0.2:0.35,0.99993,0.74906,0.83819,0.76329,0.9075,0.96339,0.66667,0.73007,0.6697,0.63449,0.851,0.6885,0.76933,0.88395,0.91291,0.85714,0.48616,0.35458,0.96911,0.67097
0.5:0.5:0.35:0.95:0.95:0.2,0.99978,0.74758,0.83524,0.76429,0.90567,0.96284,0.66556,0.72778,0.66818,0.63828,0.84758,0.68849,0.77967,0.8841,0.91333,0.85952,0.433,0.38708,0.96908,0.71398
0.2:0.95:0.7:0.35:0.2:0.5,0.99985,0.74973,0.83189,0.76667,0.9105,0.96257,0.68111,0.73137,0.66061,0.63812,0.84815,0.68827,0.76567,0.87997,0.91186,0.85924,0.42529,0.39708,0.96855,0.6914
0.35:0.35:0.7:0.95:0.5:0.7,0.99985,0.74772,0.82975,0.76495,0.90767,0.96093,0.66333,0.72451,0.67197,0.63597,0.84758,0.68887,0.76733,0.8837,0.91203,0.86105,0.38067,0.4125,0.96906,0.72903
0.2:0.7:0.5:0.7:0.35:0.95,0.9997,0.75013,0.83594,0.76548,0.90833,0.96284,0.67778,0.72614,0.66894,0.63993,0.8453,0.68865,0.77533,0.88382,0.91305,0.85743,0.43059,0.38708,0.96911,0.74086
0.35:0.7:0.95:0.5:0.2:0.35,0.99985,0.74798,0.83252,0.76543,0.91467,0.96503,0.66,0.73072,0.65909,0.63779,0.84758,0.68869,0.77433,0.87832,0.91276,0.85981,0.41155,0.40792,0.96867,0.63763
0.2:0.35:0.95:0.2:0.5:0.2,0.9997,0.74825,0.83275,0.76343,0.91267,0.96038,0.65778,0.72712,0.68939,0.63828,0.84587,0.68897,0.781,0.88114,0.91304,0.85981,0.44603,0.3675,0.9683,0.67204
