Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
75.0:45.0:-0.4:0.4:5.0:0.4:0.95:0.95:0.5:0.35:0.5:0.85,0.99978,0.74731,0.83137,0.75567,0.89717,0.96503,0.66556,0.71536,0.64924,0.61601,0.85185,0.67231,0.74667,0.87338,0.89795,0.85038,0.459,0.34208,0.9652,0.86237
75.0:60.0:-0.2:1.0:2.0:0.1:0.5:0.35:0.95:0.35:0.95:0.35,0.9997,0.74651,0.83785,0.75833,0.89917,0.96093,0.67556,0.71667,0.66515,0.62112,0.85299,0.67135,0.75633,0.8709,0.9007,0.85429,0.39642,0.32917,0.96683,0.85914
75.0:75.0:-0.6:0.4:3.0:0.2:0.7:0.5:0.35:0.7:0.2:0.1,0.99978,0.74691,0.82946,0.754,0.898,0.96202,0.64556,0.69183,0.66894,0.61749,0.84046,0.67324,0.752,0.8696,0.89848,0.85076,0.53383,0.34458,0.96607,0.85699
75.0:90.0:-0.8:0.6:12.0:0.01:0.7:0.35:0.7:0.95:0.7:0.1,1,0.72204,0.83247,0.7521,0.89383,0.96503,0.64222,0.71797,0.68712,0.6236,0.84672,0.67127,0.74733,0.86546,0.8917,0.85381,0.47492,0.30833,0.96572,0.86774
90.0:30.0:-0.4:0.6:3.0:0.1:0.5:0.5:0.7:0.95:0.2:0.2,0.99993,0.74785,0.83212,0.75614,0.9015,0.97077,0.68111,0.71601,0.67424,0.62145,0.85299,0.6799,0.75767,0.87787,0.90584,0.85676,0.52933,0.28333,0.96663,0.86559
90.0:45.0:-0.2:0.2:2.0:0.01:0.35:0.7:0.5:0.95:0.7:0.6,0.99985,0.74691,0.83206,0.75605,0.88817,0.96749,0.63889,0.7098,0.67727,0.62871,0.84587,0.67693,0.75167,0.86824,0.89658,0.85276,0.56144,0.33833,0.96648,0.81828
90.0:60.0:-1.0:1.0:8.0:0.01:0.95:0.5:0.5:0.5:0.7:0.85,0.99941,0.7504,0.84265,0.76833,0.92433,0.96448,0.67556,0.68235,0.67652,0.65809,0.84872,0.70077,0.763,0.89991,0.9222,0.8599,0.4624,0.375,0.96956,0.86989
90.0:75.0:-0.8:0.4:5.0:0.05:0.5:0.35:0.35:0.95:0.7:0.85,0.9997,0.74852,0.85185,0.77176,0.92067,0.96503,0.69556,0.70425,0.65227,0.66518,0.85613,0.69711,0.77667,0.8913,0.91987,0.86438,0.42669,0.31667,0.97024,0.86129
90.0:90.0:-0.6:0.8:12.0:0.4:0.95:0.95:0.95:0.2:0.5:0.1,0.99993,0.74718,0.84161,0.75714,0.9075,0.96612,0.69111,0.7183,0.66894,0.6269,0.84615,0.68085,0.75167,0.87813,0.90187,0.85162,0.50597,0.3275,0.9676,0.86989
30.0:90.0:-0.2:0.8:5.0:0.4:0.7:0.2:0.7:0.95:0.5:0.85,0.99985,0.74772,0.83883,0.77071,0.9175,0.96831,0.69333,0.70686,0.66818,0.65809,0.85812,0.69425,0.76367,0.88694,0.91504,0.8619,0.46081,0.30083,0.96954,0.86452
45.0:90.0:-0.2:1.0:3.0:0.2:0.2:0.95:0.7:0.35:0.7:0.2,0.9997,0.74516,0.82922,0.75576,0.88683,0.96749,0.66,0.71667,0.66515,0.62178,0.84872,0.66865,0.75933,0.8691,0.89584,0.85381,0.44524,0.30667,0.96611,0.86129
75.0:90.0:-1.0:0.8:3.0:0.01:0.35:0.2:0.2:0.35:0.2:0.6,0.99978,0.74866,0.8331,0.75438,0.89117,0.96148,0.65667,0.72484,0.66439,0.6203,0.85128,0.67195,0.75833,0.87379,0.89407,0.85152,0.42019,0.27333,0.9651,0.86774
60.0:75.0:-0.6:0.2:5.0:0.1:0.7:0.95:0.35:0.5:0.35:0.6,0.99993,0.74973,0.84375,0.76762,0.89917,0.96831,0.64667,0.71405,0.65758,0.64901,0.84473,0.69839,0.75833,0.88587,0.91838,0.85686,0.47141,0.3425,0.9676,0.85054
45.0:60.0:-0.8:0.4:8.0:0.01:0.7:0.95:0.2:0.2:0.95:0.6,0.99985,0.74892,0.8349,0.75538,0.89517,0.9582,0.67,0.72353,0.67727,0.617,0.84701,0.67187,0.74167,0.87249,0.89612,0.84733,0.48772,0.32583,0.96644,0.85806
90.0:30.0:-1.0:1.0:5.0:0.2:0.7:0.7:0.2:0.95:0.95:0.35,1,0.74919,0.83773,0.77119,0.91117,0.97104,0.65556,0.71307,0.67424,0.65017,0.84444,0.69797,0.76,0.88985,0.91884,0.85914,0.44697,0.28458,0.96853,0.87742
75.0:30.0:-0.6:0.6:2.0:0.05:0.2:0.2:0.2:0.5:0.5:0.35,0.99993,0.75148,0.82905,0.75595,0.88867,0.96421,0.67889,0.71569,0.6553,0.61601,0.849,0.67539,0.75633,0.87381,0.89414,0.85181,0.53717,0.34542,0.96629,0.86022
60.0:45.0:-0.2:0.2:12.0:0.01:0.5:0.5:0.2:0.7:0.5:0.1,1,0.75054,0.83478,0.76148,0.90433,0.96913,0.68333,0.7085,0.68182,0.63234,0.85043,0.67731,0.74833,0.88271,0.90242,0.85533,0.50351,0.35125,0.96768,0.85591
30.0:30.0:-0.4:0.6:2.0:0.1:0.95:0.7:0.2:0.7:0.7:0.2,0.99978,0.74812,0.83241,0.75567,0.90083,0.96749,0.67556,0.71078,0.67045,0.62079,0.84615,0.67832,0.75667,0.88,0.89889,0.85638,0.54584,0.3375,0.9677,0.83226
45.0:45.0:-0.8:0.6:3.0:0.2:0.5:0.2:0.95:0.2:0.35:0.85,0.99993,0.74906,0.81933,0.756,0.891,0.95984,0.66556,0.69771,0.66212,0.61304,0.84815,0.67224,0.751,0.86682,0.89175,0.85286,0.38881,0.29792,0.96532,0.85161
75.0:75.0:-0.6:1.0:3.0:0.4:0.35:0.7:0.95:0.5:0.5:0.6,0.99993,0.74449,0.83316,0.75319,0.89083,0.9623,0.68111,0.71536,0.67045,0.6198,0.83989,0.67292,0.747,0.87461,0.89802,0.84981,0.51628,0.33875,0.96638,0.85484
90.0:75.0:-0.2:0.2:8.0:0.05:0.35:0.7:0.7:0.35:0.35:0.1,0.99993,0.75094,0.84294,0.76619,0.9145,0.9694,0.66444,0.7085,0.675,0.66601,0.84501,0.69194,0.76467,0.88622,0.9196,0.86257,0.45432,0.33292,0.96921,0.85699
90.0:60.0:-0.8:0.4:5.0:0.01:0.2:0.2:0.95:0.7:0.35:0.2,0.99985,0.74987,0.83929,0.77281,0.91283,0.96612,0.69889,0.70948,0.66439,0.65726,0.85356,0.70041,0.771,0.89449,0.92325,0.86,0.5683,0.29667,0.96966,0.87634
30.0:75.0:-0.4:1.0:2.0:0.05:0.7:0.35:0.5:0.2:0.35:0.2,0.99993,0.75067,0.83738,0.77048,0.91183,0.96913,0.69,0.71046,0.66818,0.66073,0.84558,0.69561,0.77333,0.88466,0.9174,0.86248,0.4481,0.34542,0.96911,0.83118
60.0:45.0:-1.0:0.8:2.0:0.1:0.35:0.2:0.95:0.2:0.95:0.1,0.99985,0.74798,0.83385,0.75786,0.91333,0.96995,0.67778,0.71046,0.64621,0.62789,0.84672,0.66659,0.75567,0.87038,0.89564,0.8539,0.49789,0.32708,0.96669,0.84839
30.0:75.0:-0.6:0.8:5.0:0.4:0.5:0.5:0.2:0.2:0.7:0.35,1,0.7496,0.83918,0.76343,0.90683,0.96475,0.68222,0.70654,0.6697,0.6429,0.85071,0.69396,0.75,0.87934,0.91706,0.85381,0.41646,0.29542,0.96826,0.86237
45.0:90.0:-1.0:0.6:5.0:0.2:0.2:0.95:0.35:0.7:0.2:0.1,0.99985,0.74892,0.82697,0.75405,0.89217,0.96475,0.65333,0.71797,0.66288,0.61205,0.85385,0.66897,0.74733,0.8736,0.89588,0.85362,0.56937,0.34167,0.96412,0.83871
45.0:60.0:-0.6:0.4:2.0:0.1:0.35:0.95:0.35:0.35:0.5:0.1,0.99978,0.74892,0.82865,0.75619,0.89317,0.96667,0.66556,0.71895,0.65833,0.60528,0.84302,0.67081,0.74767,0.87225,0.89779,0.85295,0.49712,0.3425,0.96625,0.84516
90.0:60.0:-0.6:0.6:8.0:0.4:0.5:0.95:0.7:0.95:0.2:0.6,1,0.75081,0.84653,0.77419,0.917,0.96475,0.70333,0.70261,0.68636,0.65875,0.84929,0.70107,0.769,0.89649,0.92286,0.86219,0.50405,0.30125,0.96995,0.86022
60.0:30.0:-0.8:0.6:12.0:0.2:0.5:0.2:0.35:0.5:0.95:0.2,0.99993,0.74812,0.8511,0.768,0.9115,0.96967,0.69222,0.71601,0.66667,0.6538,0.84729,0.6935,0.76567,0.88572,0.92117,0.85895,0.49832,0.2975,0.96855,0.86559
45.0:60.0:-0.4:1.0:12.0:0.01:0.95:0.35:0.2:0.5:0.35:0.85,0.99978,0.74691,0.83183,0.75381,0.90183,0.96366,0.67667,0.7219,0.65758,0.61947,0.84103,0.66972,0.75367,0.8726,0.89424,0.85086,0.55603,0.335,0.96572,0.86882
45.0:90.0:-0.6:0.8:2.0:0.01:0.7:0.35:0.95:0.7:0.95:0.35,0.99985,0.74543,0.83779,0.75752,0.896,0.96393,0.65778,0.72386,0.6697,0.61634,0.8453,0.67356,0.756,0.86932,0.89845,0.85362,0.60486,0.345,0.96584,0.83118
75.0:45.0:-0.6:0.8:2.0:0.4:0.2:0.7:0.5:0.2:0.35:0.85,0.99985,0.74624,0.82529,0.752,0.895,0.96284,0.66444,0.72255,0.64773,0.61947,0.8416,0.66746,0.74133,0.86913,0.89615,0.85114,0.55054,0.30125,0.96623,0.83333
