Configuracion,AutoMpg,AutoPrice,BodyFat,Cpu,Housing,Sensory,Servo,Veteran
60.0:45.0:-0.6:1.0:3.0:0.05:0.95:0.35:0.7:0.7:0.95:0.85,0.22131,0.00026,0.43279,0.03272,0.19218,0.55262,0.46995,0.00422
60.0:60.0:-0.4:0.8:12.0:0.05:0.2:0.5:0.5:0.95:0.35:0.6,0.22487,0.00028,0.40634,0.03869,0.18162,0.54931,0.46435,0.00439
60.0:75.0:-0.2:0.6:8.0:0.2:0.95:0.2:0.35:0.2:0.7:0.35,0.22355,0.00027,0.42406,0.03143,0.18927,0.54741,0.47129,0.0047
60.0:90.0:-1.0:0.4:12.0:0.1:0.5:0.7:0.5:0.2:0.2:0.85,0.22108,0.00025,0.44332,0.02809,0.18758,0.55004,0.46844,0.00428
75.0:30.0:-1.0:0.2:8.0:0.4:0.2:0.35:0.7:0.2:0.35:0.2,0.22732,0.00025,0.41338,0.03254,0.18521,0.54446,0.46334,0.00416
75.0:45.0:-0.4:0.4:5.0:0.4:0.95:0.95:0.5:0.35:0.5:0.85,0.2263,0.00026,0.42023,0.03172,0.18347,0.54589,0.46519,0.00425
75.0:60.0:-0.2:1.0:2.0:0.1:0.5:0.35:0.95:0.35:0.95:0.35,0.22504,0.00026,0.4123,0.03618,0.18515,0.54489,0.46456,0.00439
75.0:75.0:-0.6:0.4:3.0:0.2:0.7:0.5:0.35:0.7:0.2:0.1,0.22625,0.00026,0.39965,0.04065,0.18948,0.54749,0.47005,0.00408
75.0:90.0:-0.8:0.6:12.0:0.01:0.7:0.35:0.7:0.95:0.7:0.1,0.22549,0.00027,0.41277,0.03782,0.18693,0.54833,0.46848,0.00452
90.0:30.0:-0.4:0.6:3.0:0.1:0.5:0.5:0.7:0.95:0.2:0.2,0.22038,0.00026,0.43434,0.03647,0.18931,0.55438,0.4649,0.00421
90.0:45.0:-0.2:0.2:2.0:0.01:0.35:0.7:0.5:0.95:0.7:0.6,0.22203,0.00027,0.40735,0.05457,0.18705,0.54325,0.46771,0.00439
90.0:60.0:-1.0:1.0:8.0:0.01:0.95:0.5:0.5:0.5:0.7:0.85,0.22363,0.00026,0.42155,0.03685,0.186,0.54722,0.46562,0.00426
90.0:75.0:-0.8:0.4:5.0:0.05:0.5:0.35:0.35:0.95:0.7:0.85,0.22272,0.00027,0.42101,0.03785,0.18713,0.5501,0.46615,0.00387
90.0:90.0:-0.6:0.8:12.0:0.4:0.95:0.95:0.95:0.2:0.5:0.1,0.21951,0.00025,0.41753,0.03811,0.18743,0.552,0.45906,0.00454
30.0:90.0:-0.2:0.8:5.0:0.4:0.7:0.2:0.7:0.95:0.5:0.85,0.22397,0.00028,0.42108,0.0341,0.19053,0.54951,0.47699,0.00399
45.0:90.0:-0.2:1.0:3.0:0.2:0.2:0.95:0.7:0.35:0.7:0.2,0.22511,0.00027,0.3946,0.03658,0.18308,0.54615,0.46816,0.00426
75.0:90.0:-1.0:0.8:3.0:0.01:0.35:0.2:0.2:0.35:0.2:0.6,0.22512,0.00026,0.41651,0.04042,0.18772,0.54701,0.46508,0.00433
60.0:75.0:-0.6:0.2:5.0:0.1:0.7:0.95:0.35:0.5:0.35:0.6,0.22136,0.00027,0.41061,0.04896,0.18798,0.54938,0.4654,0.00434
45.0:60.0:-0.8:0.4:8.0:0.01:0.7:0.95:0.2:0.2:0.95:0.6,0.22446,0.00025,0.40066,0.02589,0.18635,0.54257,0.46709,0.00443
90.0:30.0:-1.0:1.0:5.0:0.2:0.7:0.7:0.2:0.95:0.95:0.35,0.22204,0.00026,0.41363,0.02898,0.19083,0.55249,0.47364,0.00382
75.0:30.0:-0.6:0.6:2.0:0.05:0.2:0.2:0.2:0.5:0.5:0.35,0.22544,0.00027,0.3857,0.0528,0.18518,0.54255,0.46725,0.0046
60.0:45.0:-0.2:0.2:12.0:0.01:0.5:0.5:0.2:0.7:0.5:0.1,0.22031,0.00025,0.43957,0.03808,0.18947,0.54868,0.4664,0.00394
30.0:30.0:-0.4:0.6:2.0:0.1:0.95:0.7:0.2:0.7:0.7:0.2,0.22237,0.00027,0.38867,0.03681,0.18748,0.54618,0.46419,0.00421
45.0:45.0:-0.8:0.6:3.0:0.2:0.5:0.2:0.95:0.2:0.35:0.85,0.22434,0.00027,0.4121,0.03925,0.18811,0.54553,0.46415,0.00438
75.0:75.0:-0.6:1.0:3.0:0.4:0.35:0.7:0.95:0.5:0.5:0.6,0.2264,0.00025,0.39742,0.03413,0.18733,0.54445,0.46575,0.00429
90.0:75.0:-0.2:0.2:8.0:0.05:0.35:0.7:0.7:0.35:0.35:0.1,0.22254,0.00025,0.43505,0.02683,0.19005,0.55494,0.4715,0.00437
90.0:60.0:-0.8:0.4:5.0:0.01:0.2:0.2:0.95:0.7:0.35:0.2,0.22279,0.00028,0.40305,0.0332,0.18502,0.54569,0.46232,0.00445
30.0:75.0:-0.4:1.0:2.0:0.05:0.7:0.35:0.5:0.2:0.35:0.2,0.22118,0.00029,0.42331,0.03328,0.19277,0.55085,0.47029,0.00412
60.0:45.0:-1.0:0.8:2.0:0.1:0.35:0.2:0.95:0.2:0.95:0.1,0.22077,0.00025,0.40542,0.03426,0.18652,0.55245,0.46862,0.00397
30.0:75.0:-0.6:0.8:5.0:0.4:0.5:0.5:0.2:0.2:0.7:0.35,0.22399,0.00026,0.42111,0.03983,0.1899,0.55198,0.46493,0.0041
45.0:90.0:-1.0:0.6:5.0:0.2:0.2:0.95:0.35:0.7:0.2:0.1,0.2234,0.00025,0.40535,0.04457,0.18392,0.54538,0.46479,0.00456
45.0:60.0:-0.6:0.4:2.0:0.1:0.35:0.95:0.35:0.35:0.5:0.1,0.22243,0.00027,0.40364,0.04405,0.18839,0.54578,0.47092,0.00439
90.0:60.0:-0.6:0.6:8.0:0.4:0.5:0.95:0.7:0.95:0.2:0.6,0.22506,0.00025,0.4118,0.04174,0.18653,0.54954,0.46525,0.00443
60.0:30.0:-0.8:0.6:12.0:0.2:0.5:0.2:0.35:0.5:0.95:0.2,0.22426,0.00025,0.41062,0.03933,0.18801,0.54603,0.46533,0.00404
45.0:60.0:-0.4:1.0:12.0:0.01:0.95:0.35:0.2:0.5:0.35:0.85,0.22433,0.00029,0.38856,0.04662,0.18161,0.5471,0.47596,0.00467
45.0:90.0:-0.6:0.8:2.0:0.01:0.7:0.35:0.95:0.7:0.95:0.35,0.22332,0.00028,0.40491,0.04012,0.1828,0.54627,0.46354,0.00436
75.0:45.0:-0.6:0.8:2.0:0.4:0.2:0.7:0.5:0.2:0.35:0.85,0.2252,0.00027,0.39116,0.03636,0.18708,0.54163,0.46077,0.00422
