Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
300.0:0.15:16.0:0.5,0.99941,0.74718,0.84433,0.76614,0.91017,0.96639,0.69667,0.70196,0.66742,0.64868,0.851,0.68856,0.773,0.87906,0.91462,0.85829,0.46275,0.3025,0.96925,0.86667
300.0:0.3:20.0:0.95,0.9997,0.74691,0.84439,0.76576,0.90967,0.96639,0.69111,0.70229,0.66818,0.64802,0.851,0.68873,0.775,0.87848,0.91462,0.85476,0.47543,0.29708,0.96925,0.86667
300.0:0.5:4.0:0.2,0.99919,0.75121,0.83675,0.7629,0.90517,0.96421,0.67889,0.71111,0.68258,0.65462,0.86211,0.68882,0.77133,0.87759,0.91139,0.85962,0.4781,0.30958,0.96871,0.84839
300.0:0.7:8.0:0.7,0.9997,0.75228,0.83987,0.76124,0.90817,0.96694,0.67222,0.70784,0.67045,0.64851,0.85128,0.68675,0.772,0.87854,0.91144,0.8601,0.44762,0.33167,0.96875,0.85914
300.0:0.95:12.0:0.35,0.9997,0.74866,0.83924,0.76186,0.90883,0.96339,0.67889,0.70752,0.6553,0.64406,0.84245,0.68931,0.75667,0.87859,0.91257,0.86181,0.47864,0.31542,0.96851,0.84839
100.0:0.95:20.0:0.35,1,0.74852,0.8375,0.76386,0.90767,0.96858,0.68333,0.70784,0.66136,0.65099,0.85926,0.69273,0.75633,0.88062,0.91313,0.85886,0.43485,0.33292,0.96871,0.86667
150.0:0.95:16.0:0.2,0.99956,0.75148,0.84207,0.76714,0.91367,0.96913,0.67444,0.70948,0.66742,0.64653,0.85328,0.68964,0.75467,0.87787,0.91321,0.86114,0.49029,0.30958,0.96871,0.87634
250.0:0.95:12.0:0.35,0.99933,0.74946,0.84259,0.76162,0.916,0.96667,0.67556,0.70556,0.66439,0.64059,0.85385,0.68719,0.775,0.88015,0.91349,0.8639,0.51297,0.33292,0.96871,0.84516
200.0:0.7:12.0:0.95,0.99948,0.7504,0.84601,0.76224,0.91117,0.96776,0.68,0.70686,0.67121,0.65066,0.85157,0.68898,0.76867,0.88336,0.91295,0.85895,0.55397,0.34458,0.96898,0.85161
100.0:0.5:8.0:0.7,0.99978,0.74919,0.84525,0.76438,0.92083,0.96585,0.67,0.7085,0.67879,0.65743,0.84387,0.69148,0.764,0.88305,0.91434,0.86057,0.52425,0.28042,0.96888,0.86237
