Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
0.5:0.7:0.5:0.95:0.5:0.5,1,0.75255,0.83206,0.76548,0.909,0.96913,0.7,0.69902,0.69394,0.66155,0.8567,0.70593,0.76433,0.88765,0.92762,0.8599,0.50005,0.34125,0.96964,0.8828
0.35:0.5:0.7:0.7:0.7:0.2,1,0.75417,0.83657,0.7671,0.90383,0.97022,0.70889,0.70359,0.67879,0.66221,0.85726,0.70697,0.77633,0.88844,0.92609,0.86305,0.44748,0.30667,0.96973,0.87634
0.95:0.2:0.2:0.2:0.5:0.7,1,0.75121,0.83981,0.76919,0.90133,0.97077,0.71222,0.70425,0.68712,0.66386,0.86353,0.70629,0.76733,0.88722,0.92492,0.85952,0.46873,0.33125,0.9696,0.87849
0.7:0.2:0.5:0.5:0.2:0.35,1,0.75215,0.83409,0.76557,0.91267,0.97049,0.71111,0.70686,0.67348,0.65825,0.85869,0.70591,0.76733,0.88449,0.9255,0.86219,0.49046,0.35208,0.96952,0.88172
0.5:0.5:0.35:0.95:0.95:0.2,1,0.75134,0.83692,0.76686,0.9025,0.97104,0.70778,0.70621,0.67727,0.66221,0.86239,0.70681,0.769,0.88457,0.92608,0.85876,0.40466,0.35417,0.96931,0.86559
0.2:0.95:0.7:0.35:0.2:0.5,1,0.75188,0.83536,0.77167,0.90317,0.96995,0.70222,0.7049,0.69015,0.667,0.86154,0.70584,0.76433,0.88885,0.92765,0.86152,0.45273,0.33875,0.96962,0.87419
0.35:0.35:0.7:0.95:0.5:0.7,0.99993,0.74973,0.83953,0.7681,0.91133,0.96885,0.70556,0.70294,0.67879,0.65792,0.84986,0.70624,0.765,0.88924,0.92762,0.85952,0.45286,0.32417,0.96944,0.87957
0.2:0.7:0.5:0.7:0.35:0.95,0.99993,0.75027,0.84259,0.7681,0.9045,0.97322,0.69778,0.7,0.68106,0.66947,0.86211,0.70597,0.76833,0.88766,0.92631,0.85933,0.51258,0.32792,0.9696,0.87957
0.35:0.7:0.95:0.5:0.2:0.35,0.99993,0.74946,0.84062,0.76762,0.90617,0.97022,0.72,0.70261,0.68485,0.66172,0.86154,0.70545,0.76233,0.88616,0.92844,0.85952,0.42553,0.33167,0.96944,0.87419
0.2:0.35:0.95:0.2:0.5:0.2,1,0.75565,0.84005,0.76771,0.89917,0.97295,0.70667,0.70784,0.68333,0.66502,0.8584,0.70587,0.77533,0.88906,0.92731,0.85952,0.47768,0.34833,0.96948,0.87957
